"","Mh101","Mh102","Mh103","Mh104","Mh105","Mh106","Mh107","Mh108","Mh109","Mh110"
"1",95018,0,0,0,0,0,0,0,0,0
"2",95018,0,0,0,0,0,0,0,0,0
"3",95018,0,0,0,0,0,0,0,0,0
"4",95018,0,0,0,0,0,0,0,0,0
"5",195419,0,0,0,0,0,0,0,0,0
"6",195419,0,0,0,0,0,0,0,0,0
"7",195419,0,0,0,0,0,0,0,0,0
"8",195419,0,0,0,0,0,0,0,0,0
"9",2342081,1434285,1170077,368829,1128401,1493673,3010228,3993033,3092197,1445138
"10",2342081,1434285,1170077,368829,1128401,1493673,3010228,3993033,3092197,1445138
"11",2342081,1434285,1170077,368829,1128401,1493673,3010228,3993033,3092197,1445138
"12",2342081,1434285,1170077,368829,1128401,1493673,3010228,3993033,3092197,1445138
"13",9502884,7520535,7324217,2037914,5673735,9209852,7387499,10762131,7425802,4079721
"14",9502884,7520535,7324217,2037914,5673735,9209852,7387499,10762131,7425802,4079721
"15",9502884,7520535,7324217,2037914,5673735,9209852,7387499,10762131,7425802,4079721
"16",9502884,7520535,7324217,2037914,5673735,9209852,7387499,10762131,7425802,4079721
"17",13268409,8457262,8696893,3259998,7231357,10980420,9417698,14227779,10173250,6590705
"18",13268409,8457262,8696893,3259998,7231357,10980420,9417698,14227779,10173250,6590705
"19",13268409,8457262,8696893,3259998,7231357,10980420,9417698,14227779,10173250,6590705
"20",13268409,8457262,8696893,3259998,7231357,10980420,9417698,14227779,10173250,6590705
"21",157028,52353,51847,21506,24562,156415,1774307,2018292,1163685,18678
"22",157028,52353,51847,21506,24562,156415,1774307,2018292,1163685,18678
"23",157028,52353,51847,21506,24562,156415,1774307,2018292,1163685,18678
"24",157028,52353,51847,21506,24562,156415,1774307,2018292,1163685,18678
"25",218581,85836,82090,31820,41594,67996,51300,66921,38343,33281
"26",218581,85836,82090,31820,41594,67996,51300,66921,38343,33281
"27",218581,85836,82090,31820,41594,67996,51300,66921,38343,33281
"28",218581,85836,82090,31820,41594,67996,51300,66921,38343,33281
"29",209270,70801,59681,21342,31386,48608,42357,52342,31564,25075
"30",209270,70801,59681,21342,31386,48608,42357,52342,31564,25075
"31",209270,70801,59681,21342,31386,48608,42357,52342,31564,25075
"32",209270,70801,59681,21342,31386,48608,42357,52342,31564,25075
"33",0,1203686,4040674,1839098,614318,2038596,2077301,2589271,3142472,1622320
"34",0,1203686,4040674,1839098,614318,2038596,2077301,2589271,3142472,1622320
