"","siteid","placeid","adsize","concept","testcontrol","placeimp","impressions","clicks","conversions"
"1","j101","p101","ad_size_B","ad_concept_1","combo",95018,23638,12,1
"2","j101","p101","ad_size_B","ad_concept_2","combo",95018,23733,16,1
"3","j101","p101","ad_size_B","ad_concept_3","combo",95018,23797,17,0
"4","j101","p101","ad_size_B","ad_concept_4","combo",95018,23850,21,0
"5","j101","p102","ad_size_C","ad_concept_1","combo",195419,48638,31,1
"6","j101","p102","ad_size_C","ad_concept_2","combo",195419,48850,18,1
"7","j101","p102","ad_size_C","ad_concept_3","combo",195419,49009,24,2
"8","j101","p102","ad_size_C","ad_concept_4","combo",195419,48922,30,0
"9","j102","p103","ad_size_A","ad_concept_1","combo",19477942,6650021,3240,26
"10","j102","p103","ad_size_A","ad_concept_2","combo",19477942,2577762,1304,13
"11","j102","p103","ad_size_A","ad_concept_3","combo",19477942,4907229,2479,21
"12","j102","p103","ad_size_A","ad_concept_4","combo",19477942,5342930,2999,25
"13","j102","p104","ad_size_B","ad_concept_1","combo",70924290,20334674,7822,42
"14","j102","p104","ad_size_B","ad_concept_2","combo",70924290,22092127,8378,43
"15","j102","p104","ad_size_B","ad_concept_3","combo",70924290,9925643,3239,19
"16","j102","p104","ad_size_B","ad_concept_4","combo",70924290,18571846,7149,36
"17","j102","p105","ad_size_C","ad_concept_1","combo",92303771,11580971,4737,6
"18","j102","p105","ad_size_C","ad_concept_2","combo",92303771,13826252,5896,11
"19","j102","p105","ad_size_C","ad_concept_3","combo",92303771,29302404,12594,32
"20","j102","p105","ad_size_C","ad_concept_4","combo",92303771,37594144,16891,61
"21","j103","p106","ad_size_A","ad_concept_1","combo",5438673,1637155,1724,18
"22","j103","p106","ad_size_A","ad_concept_2","combo",5438673,888058,986,5
"23","j103","p106","ad_size_A","ad_concept_3","combo",5438673,1075544,1213,13
"24","j103","p106","ad_size_A","ad_concept_4","combo",5438673,1837916,1739,17
"25","j103","p107","ad_size_B","ad_concept_1","combo",717762,196949,81,10
"26","j103","p107","ad_size_B","ad_concept_2","combo",717762,109341,41,13
"27","j103","p107","ad_size_B","ad_concept_3","combo",717762,211251,97,29
"28","j103","p107","ad_size_B","ad_concept_4","combo",717762,200221,90,24
"29","j103","p108","ad_size_C","ad_concept_1","combo",592426,167294,52,10
"30","j103","p108","ad_size_C","ad_concept_2","combo",592426,135470,61,8
"31","j103","p108","ad_size_C","ad_concept_3","combo",592426,133291,47,8
"32","j103","p108","ad_size_C","ad_concept_4","combo",592426,156371,54,7
"33","j104","p109","ad_size_B","ad_concept_1","combo",19167736,6179269,708,44
"34","j104","p109","ad_size_B","ad_concept_2","combo",19167736,5039356,590,32
"35","j104","p109","ad_size_B","ad_concept_3","combo",19167736,3077491,341,23
"36","j104","p109","ad_size_B","ad_concept_4","combo",19167736,4871620,576,32
"37","j105","p110","ad_size_C","ad_concept_1","combo",10920513,1843451,769,4
"38","j105","p110","ad_size_C","ad_concept_2","combo",10920513,2017273,978,9
"39","j105","p110","ad_size_C","ad_concept_3","combo",10920513,2344885,1301,8
"40","j105","p110","ad_size_C","ad_concept_4","combo",10920513,4714904,2811,26
"41","j106","p111","ad_size_A","ad_concept_1","combo",680083,185867,90,0
"42","j106","p111","ad_size_A","ad_concept_2","combo",680083,148916,73,0
"43","j106","p111","ad_size_A","ad_concept_3","combo",680083,162524,68,0
"44","j106","p111","ad_size_A","ad_concept_4","combo",680083,182776,104,0
"45","j106","p112","ad_size_B","ad_concept_1","combo",1683807,460656,205,0
"46","j106","p112","ad_size_B","ad_concept_2","combo",1683807,417576,203,1
"47","j106","p112","ad_size_B","ad_concept_3","combo",1683807,315637,153,0
"48","j106","p112","ad_size_B","ad_concept_4","combo",1683807,489938,236,0
"49","j106","p113","ad_size_C","ad_concept_1","combo",1233261,297832,160,0
"50","j106","p113","ad_size_C","ad_concept_2","combo",1233261,294033,155,0
"51","j106","p113","ad_size_C","ad_concept_3","combo",1233261,315996,189,0
"52","j106","p113","ad_size_C","ad_concept_4","combo",1233261,325400,172,0
"53","j107","p114","ad_size_B","ad_concept_1","combo",14391365,3778596,434,11
"54","j107","p114","ad_size_B","ad_concept_2","combo",14391365,4814634,548,6
"55","j107","p114","ad_size_B","ad_concept_3","combo",14391365,2796946,296,7
"56","j107","p114","ad_size_B","ad_concept_4","combo",14391365,3001189,392,6
"57","j108","p115","ad_size_C","ad_concept_1","combo",14337819,2285350,1466,3
"58","j108","p115","ad_size_C","ad_concept_2","combo",14337819,3132743,1902,11
"59","j108","p115","ad_size_C","ad_concept_3","combo",14337819,3200986,2172,6
"60","j108","p115","ad_size_C","ad_concept_4","combo",14337819,5718740,4492,12
"61","j109","p116","ad_size_A","ad_concept_1","combo",4711064,1277838,677,1
"62","j109","p116","ad_size_A","ad_concept_2","combo",4711064,1055615,580,2
"63","j109","p116","ad_size_A","ad_concept_3","combo",4711064,1100747,644,1
"64","j109","p116","ad_size_A","ad_concept_4","combo",4711064,1276864,680,0
"65","j109","p117","ad_size_B","ad_concept_1","combo",96126,25422,40,0
"66","j109","p117","ad_size_B","ad_concept_2","combo",96126,23685,46,0
"67","j109","p117","ad_size_B","ad_concept_3","combo",96126,20568,33,0
"68","j109","p117","ad_size_B","ad_concept_4","combo",96126,26451,64,0
"69","j110","p118","ad_size_B","ad_concept_1","combo",4966526,1226281,388,0
"70","j110","p118","ad_size_B","ad_concept_2","combo",4966526,1653262,486,1
"71","j110","p118","ad_size_B","ad_concept_3","combo",4966526,1104995,419,1
"72","j110","p118","ad_size_B","ad_concept_4","combo",4966526,981988,397,1
"73","j111","p119","ad_size_B","ad_concept_1","combo",37189,9231,10,0
"74","j111","p119","ad_size_B","ad_concept_2","combo",37189,9296,13,0
"75","j111","p119","ad_size_B","ad_concept_3","combo",37189,9504,5,0
"76","j111","p119","ad_size_B","ad_concept_4","combo",37189,9158,7,0
"77","j112","p120","ad_size_B","ad_concept_1","combo",359639,90346,22,0
"78","j112","p120","ad_size_B","ad_concept_2","combo",359639,90057,24,0
"79","j112","p120","ad_size_B","ad_concept_3","combo",359639,89739,40,0
"80","j112","p120","ad_size_B","ad_concept_4","combo",359639,89497,27,0
"81","j112","p121","ad_size_C","ad_concept_1","combo",350776,87825,14,0
"82","j112","p121","ad_size_C","ad_concept_2","combo",350776,87504,20,0
"83","j112","p121","ad_size_C","ad_concept_3","combo",350776,87577,15,0
"84","j112","p121","ad_size_C","ad_concept_4","combo",350776,87870,23,0
"85","j113","p122","ad_size_B","ad_concept_1","combo",1001561,241852,109,0
"86","j113","p122","ad_size_B","ad_concept_2","combo",1001561,383323,206,0
"87","j113","p122","ad_size_B","ad_concept_3","combo",1001561,200773,121,5
"88","j113","p122","ad_size_B","ad_concept_4","combo",1001561,175613,94,0
"89","j113","p123","ad_size_C","ad_concept_1","combo",1427848,230756,87,0
"90","j113","p123","ad_size_C","ad_concept_2","combo",1427848,250279,89,2
"91","j113","p123","ad_size_C","ad_concept_3","combo",1427848,301156,123,0
"92","j113","p123","ad_size_C","ad_concept_4","combo",1427848,645657,267,2
"93","j114","p124","ad_size_A","ad_concept_1","combo",5178204,1698499,578,10
"94","j114","p124","ad_size_A","ad_concept_2","combo",5178204,772712,264,2
"95","j114","p124","ad_size_A","ad_concept_3","combo",5178204,1334131,456,7
"96","j114","p124","ad_size_A","ad_concept_4","combo",5178204,1372862,485,5
"97","j114","p125","ad_size_B","ad_concept_1","combo",8774857,2562023,1478,8
"98","j114","p125","ad_size_B","ad_concept_2","combo",8774857,2052791,949,4
"99","j114","p125","ad_size_B","ad_concept_3","combo",8774857,1665632,1088,11
"100","j114","p125","ad_size_B","ad_concept_4","combo",8774857,2494411,1339,18
"101","j114","p126","ad_size_C","ad_concept_1","combo",3714226,526479,229,3
"102","j114","p126","ad_size_C","ad_concept_2","combo",3714226,547029,242,4
"103","j114","p126","ad_size_C","ad_concept_3","combo",3714226,795498,360,1
"104","j114","p126","ad_size_C","ad_concept_4","combo",3714226,1845220,968,6
"105","j116","p128","ad_size_A","ad_concept_1","combo",3013827,796326,787,9
"106","j116","p128","ad_size_A","ad_concept_2","combo",3013827,430755,434,7
"107","j116","p128","ad_size_A","ad_concept_3","combo",3013827,595424,641,13
"108","j116","p128","ad_size_A","ad_concept_4","combo",3013827,1191322,4908,17
"109","j116","p129","ad_size_B","ad_concept_1","combo",5895321,1913178,2132,35
"110","j116","p129","ad_size_B","ad_concept_2","combo",5895321,1201260,1223,14
"111","j116","p129","ad_size_B","ad_concept_3","combo",5895321,1215713,1609,25
"112","j116","p129","ad_size_B","ad_concept_4","combo",5895321,1565170,2740,13
"113","j117","p130","ad_size_C","ad_concept_1","combo",6350273,974491,749,5
"114","j117","p130","ad_size_C","ad_concept_2","combo",6350273,1069500,838,3
"115","j117","p130","ad_size_C","ad_concept_3","combo",6350273,1650764,1317,6
"116","j117","p130","ad_size_C","ad_concept_4","combo",6350273,2655518,3636,12
"117","j118","p131","ad_size_A","ad_concept_1","combo",302897,80696,100,0
"118","j118","p131","ad_size_A","ad_concept_2","combo",302897,68247,57,1
"119","j118","p131","ad_size_A","ad_concept_3","combo",302897,73306,56,0
"120","j118","p131","ad_size_A","ad_concept_4","combo",302897,80648,91,0
"121","j118","p132","ad_size_B","ad_concept_1","combo",711841,198528,349,0
"122","j118","p132","ad_size_B","ad_concept_2","combo",711841,173519,305,1
"123","j118","p132","ad_size_B","ad_concept_3","combo",711841,148552,288,0
"124","j118","p132","ad_size_B","ad_concept_4","combo",711841,191242,492,0
"125","j118","p133","ad_size_C","ad_concept_1","combo",631331,145066,139,0
"126","j118","p133","ad_size_C","ad_concept_2","combo",631331,141631,152,0
