"","mh101","mh102","mh103","mh104","mh105","mh106","mh107","mh108","mh109","mh110"
"1",23638,0,0,0,0,0,0,0,0,0
"2",23733,0,0,0,0,0,0,0,0,0
"3",23797,0,0,0,0,0,0,0,0,0
"4",23850,0,0,0,0,0,0,0,0,0
"5",48638,0,0,0,0,0,0,0,0,0
"6",48850,0,0,0,0,0,0,0,0,0
"7",49009,0,0,0,0,0,0,0,0,0
"8",48922,0,0,0,0,0,0,0,0,0
"9",672468,552860,314684,137923,564420,598194,986157,1399127,970104,454084
"10",538825,136937,213427,43520,113170,188650,397027,398884,365470,181852
"11",584475,560664,462178,120239,292955,287289,444102,1078924,751394,325009
"12",546313,183824,179788,67147,157856,419540,1182942,1116098,1005229,484193
"13",2168541,1555175,2319444,577098,1704292,2519615,2170438,3447158,2584962,1287951
"14",2956929,3441308,2213944,999225,2554832,3124335,1991494,3121921,1124150,563989
"15",2214069,1774279,1313470,260890,792492,1000656,468614,861582,799994,439597
"16",2163345,749773,1477359,200701,622119,2565246,2756953,3331470,2916696,1788184
"17",3151760,466720,1234639,281704,578324,1152744,1174625,2279074,784687,476694
"18",3175319,823617,1529096,322365,577896,2130875,1830736,2137880,778259,520209
"19",3185517,1322834,1873699,577865,1013872,2301323,4082594,5979085,5496870,3468745
"20",3755813,5844091,4059459,2078064,5061265,5395478,2329743,3831740,3113434,2125057
"21",37089,9155,12126,4781,7982,45816,529256,604752,379923,6275
"22",38888,11763,4313,1671,1677,27834,309637,323743,165987,2545
"23",37947,11778,5494,1428,1566,23060,278075,464495,247764,3937
"24",43104,19657,29914,13626,13337,59705,657339,625302,370011,5921
"25",53850,34099,27889,9804,9491,14175,10335,20115,9059,8132
"26",52258,4690,7274,2662,3691,9669,8557,11200,5203,4137
"27",57643,33541,29027,13294,21691,20759,7230,14172,7676,6218
"28",54830,13506,17900,6060,6721,23393,25178,21434,16405,14794
"29",53906,38677,22387,7602,10915,11186,6312,7875,4753,3681
"30",55132,9222,7029,6047,9165,16453,13854,10967,4390,3211
"31",49573,7625,8645,2869,5185,10440,10418,15211,12615,10710
"32",50659,15277,21620,4824,6121,10529,11773,18289,9806,7473
"33",0,405146,1256228,526561,171944,534477,632315,1063149,1053375,536074
"34",0,308356,1169096,922943,300983,706082,269812,414886,621700,325498
"35",0,324811,773752,227647,79978,411492,219916,414587,414195,211113
"36",0,165373,841598,161947,61413,386545,955258,696649,1053202,549635
"37",1291755,115237,328084,82579,25793,1,0,2,0,0
"38",1297931,192377,403368,93977,29617,1,0,1,1,0
"39",1302105,304495,476477,210184,51617,2,1,1,2,1
"40",1463445,1405074,876510,708521,261344,1,2,6,0,1
"41",0,0,0,0,3404,33662,72822,75959,9,11
"42",0,0,0,0,3561,31348,61987,51999,14,7
"43",0,0,0,0,3597,31728,64847,62338,7,7
"44",0,0,0,0,3566,37502,72589,69100,13,6
"45",0,0,0,0,9181,89042,183488,178932,11,2
"46",0,0,0,0,9388,81861,178519,147790,14,4
"47",0,0,0,0,9230,70333,125235,110825,10,4
"48",0,0,0,0,9315,93148,209019,178441,10,5
"49",0,0,0,0,6749,54581,116968,119523,6,5
"50",0,0,0,0,6630,61101,121213,105071,13,5
"51",0,0,0,0,6601,57101,122470,129806,15,3
"52",0,0,0,0,6682,60909,133396,124396,13,4
"53",854411,766201,893457,212343,194871,208305,160526,176242,86016,226224
"54",1082061,1599776,879208,375263,338744,199336,68467,83318,51441,137020
"55",863871,832616,545460,93353,90095,76843,47230,78476,46387,122615
"56",851328,390163,604197,75538,69303,228538,227771,151668,104169,298514
"57",606276,68201,380982,68214,131772,181908,192656,431809,166919,56613
"58",612082,105541,426807,76643,148315,505201,503765,493319,194732,66338
"59",611434,157488,398214,166326,246907,297081,266116,575893,352455,129072
"60",693317,795915,678444,537144,1117296,778673,252350,554655,231261,79685
"61",0,0,0,0,144791,396195,310861,205461,11,220519
"62",0,0,0,0,144962,352397,258009,130380,11,169856
"63",0,0,0,0,144700,331142,249643,164243,9,211010
"64",0,0,0,0,145282,387418,315315,184359,13,244477
"65",0,0,0,0,3485,7254,5909,3937,6,4831
"66",0,0,0,0,3482,7061,5556,3277,5,4304
"67",0,0,0,0,3478,6160,3920,2793,2,4215
"68",0,0,0,0,3512,8025,6432,3914,4,4564
"69",712754,169840,228482,39012,76181,2,6,0,3,1
"70",811445,430439,207310,68663,135397,3,2,0,2,1
"71",715840,211202,121646,17124,39175,0,2,1,4,1
"72",712115,85638,138095,15353,30781,1,2,0,3,0
"73",0,0,0,0,0,0,0,0,0,9231
"74",0,0,0,0,0,0,0,0,0,9296
"75",0,0,0,0,0,0,0,0,0,9504
"76",0,0,0,0,0,0,0,0,0,9158
"77",0,0,0,0,0,0,0,0,0,90346
"78",0,0,0,0,0,0,0,0,0,90057
"79",0,0,0,0,0,0,0,0,0,89739
"80",0,0,0,0,0,0,0,0,0,89497
"81",0,0,0,0,0,0,0,0,0,87825
"82",0,0,0,0,0,0,0,0,0,87504
"83",0,0,0,0,0,0,0,0,0,87577
"84",0,0,0,0,0,0,0,0,0,87870
"85",81166,48010,79661,29038,3977,0,0,0,0,0
"86",125882,119036,76058,53696,8651,0,0,0,0,0
"87",83474,53404,47885,13511,2499,0,0,0,0,0
"88",80650,27355,57102,8777,1729,0,0,0,0,0
"89",145931,18421,52663,11620,2121,0,0,0,0,0
"90",147176,31545,56016,13404,2138,0,0,0,0,0
"91",148099,51661,69712,27946,3738,0,0,0,0,0
"92",180024,215290,140487,91269,18587,0,0,0,0,0
"93",0,232811,106595,0,36605,394016,335449,288282,155732,149009
"94",0,137855,50977,0,6330,138349,200504,96419,72620,69658
"95",0,256501,166430,0,17725,200052,234036,227335,121306,110746
"96",0,144163,41399,0,10584,232600,390516,261699,149641,142260
"97",0,485036,501623,117516,55633,478327,351805,354101,116081,101901
"98",0,462039,496025,210670,100935,418165,165025,102323,51533,46076
"99",0,413313,303706,54943,26939,199716,191722,250855,124575,99863
"100",0,249532,339020,42073,22807,628758,545681,222973,219221,224346
"101",0,177203,158172,15390,14278,67265,5,8,2,94156
"102",0,114259,213705,16294,14443,89809,27,7,4,98481
"103",0,169368,296815,31951,25434,99773,12,9,2,172134
"104",0,426325,672588,127831,125378,386143,18,11,6,106920
"105",144818,71396,111532,56417,104410,35555,29714,141040,69683,31761
"106",153379,79816,37382,16327,24249,18201,17527,44030,27248,12596
"107",149694,82204,47344,16483,20732,15872,32118,149540,57397,24040
"108",167401,129900,251734,144528,198148,59479,42585,105442,63225,28880
"109",143960,106104,98273,42076,130263,100341,71228,202102,401003,617828
"110",140048,14267,25700,12327,47570,52633,61290,170429,275807,401189
"111",150583,99471,95940,70442,308554,144696,17470,71456,96015,161086
"112",144786,40302,69671,28701,106711,126398,119349,207859,287496,433897
"113",150300,17316,65450,20352,62052,77661,118852,241165,135253,86090
"114",150175,27270,67243,22175,61910,114591,159152,266229,119481,81274
"115",151677,42517,80520,40654,100364,102707,166222,347457,360797,257849
"116",174326,202002,165694,170214,547472,269273,183320,479350,278870,184997
"117",4043,0,0,0,1478,8441,14442,25868,14055,12369
"118",4024,0,0,0,574,6498,12826,23008,11588,9729
"119",3787,0,0,0,801,6450,12267,25849,13171,10981
"120",3866,0,0,0,694,7574,14469,24880,15639,13526
"121",6429,0,0,0,552,15309,14666,80668,39563,41341
"122",6493,0,0,0,718,13341,13000,66242,36167,37558
"123",6502,0,0,0,424,10494,10088,58356,30383,32305
"124",6580,0,0,0,365,15228,15672,72228,39071,42098
"125",5878,0,0,0,912,16425,23083,57395,21800,19573
"126",5844,0,0,0,942,19196,22812,50394,22477,19966
"127",5943,0,0,0,1028,19245,24278,64754,29182,27310
"128",5852,0,0,0,2784,25016,25265,66749,25036,22192
"129",3479,520,222,30,669,4133,1157,699,217,307
"130",3500,531,160,23,590,3565,1009,601,180,261
"131",3445,583,155,18,557,2860,801,465,164,255
"132",3452,398,163,14,417,4343,1340,686,215,296
"133",7829,8449,6870,1525,8909,15503,13532,23218,4278,7408
"134",8541,10335,2503,520,1990,8075,8575,11476,2435,4052
"135",8303,10672,3244,378,1757,8010,10688,18922,4380,7289
"136",9579,16637,20124,3662,17002,23452,15247,22806,5194,8371
"137",20790,42793,26927,4233,17025,31969,32823,59352,11200,16573
"138",19747,6147,6746,1332,7242,17163,22559,46841,6562,8787
"139",23250,44811,29279,7290,42010,40040,14738,32641,6945,9680
"140",21113,17190,15976,2959,14683,45589,58178,65144,16276,26159
"141",61685,17782,23415,3848,30481,51064,22917,30006,13993,17308
"142",64694,20128,7795,868,5846,18978,14065,11696,6106,6737
"143",63881,20046,9896,917,5926,18490,28280,30794,13826,14437
"144",72741,39315,52918,8440,56217,85726,38494,24411,16281,18372
"145",119395,61400,55072,7137,24475,65640,58268,51329,24496,21075
"146",115413,9348,12396,2418,10214,24897,24893,36355,11013,8676
"147",126798,63601,54715,12727,58090,53676,18593,23468,15510,13220
"148",120152,24783,36655,4881,19162,94195,97653,70753,42475,38730
"149",141544,105179,71451,11063,75600,80574,22425,32750,13655,13403
"150",142592,26289,22156,9198,66663,140494,87262,43966,14880,14977
"151",127130,21694,27431,4837,37295,75034,69109,84200,47342,50979
"152",131149,40572,65468,6442,42069,63044,52700,59105,26563,25998
"153",392122,263529,139134,149972,419518,70811,64495,199756,134376,98213
"154",337932,64195,105480,38976,96966,28010,31309,100803,53953,39513
"155",353727,252529,92449,64230,177208,31506,31413,100292,111582,80409
"156",338776,86522,330743,86526,112478,50529,76485,314530,179789,149039
"157",521429,200464,317713,132334,324629,68969,56762,205521,222067,190970
"158",653111,461427,306339,247694,625247,164027,192539,421920,245734,200876
"159",527599,246378,185417,64627,174207,33279,18960,61686,53041,51613
"160",520418,103666,200200,47248,125071,71998,93426,338725,152700,151408
"161",733367,79716,205167,57776,106827,32088,48548,165409,120761,80923
"162",739041,133640,247990,62445,118666,82190,113962,283746,134597,97614
"163",742191,184073,289976,107990,172167,54287,86452,318588,322375,254470
"164",858006,948577,623090,465903,930031,90560,94979,412557,229043,148337
"165",29645,8985,10842,2484,12669,18901,13437,15097,7773,6866
"166",30947,10352,3483,606,2558,6136,5916,6946,2879,2379
"167",30755,10580,4683,590,2557,7154,9462,13535,9171,7324
"168",34760,19888,25172,5707,24494,27892,15801,18006,13555,12375
"169",57333,33250,29664,4331,16102,21344,19235,22953,16197,12225
"170",55167,5777,6286,1498,7169,13623,15087,20443,10936,7824
"171",60841,32461,26683,8452,42429,25144,6628,11355,5313,4168
"172",58354,13134,18551,3520,14292,28884,28136,26920,14752,11688
"173",71296,56536,33628,6405,26172,21945,12969,14462,6000,4838
"174",74920,14424,10653,6055,27138,28522,15759,15305,5679,4530
"175",66058,12199,13011,3119,15388,21516,20448,27351,18389,15674
"176",66829,21786,34017,4156,16049,20444,21376,23030,14334,11812
"177",8762,2139,2433,330,4395,9423,5391,4944,2594,2373
"178",9467,2254,862,82,1147,4605,4516,2540,1400,1100
"179",8981,2327,1177,75,936,3677,3351,3725,1903,1696
"180",10241,4580,5697,666,9126,14462,7532,5840,2575,2213
"181",15927,7658,6799,345,6684,16781,8686,4980,3867,2927
"182",15356,1275,1790,100,2663,9406,11312,9171,2448,1608
"183",16954,7789,6651,619,15809,23101,2391,2109,810,622
"184",16051,3167,4422,248,5068,19743,14772,10052,2627,2419
"185",17534,12392,8372,1286,10083,13594,4604,4846,1732,1445
"186",17709,3072,2681,954,8377,14931,6844,5520,1491,1211
"187",15764,2804,3147,574,5094,11317,11120,11267,5543,5045
"188",15861,4722,8214,773,6386,11728,9839,9028,4066,3590
"189",6981,0,5433,35688,113518,26127,28648,40150,25184,21914
"190",6989,0,3962,16150,34139,13790,20552,24690,19191,17252
"191",7130,0,4357,21639,58166,16162,22113,37137,24077,21038
"192",7088,0,7265,24440,36399,19610,32723,35493,27509,23226
"193",12819,0,11737,58664,140091,48560,69044,98156,59864,46001
"194",13045,0,7657,66653,209827,49978,59966,91913,55492,42554
"195",13072,0,9304,42613,84904,30262,44413,60997,43368,33412
"196",13108,1,9626,35473,64472,48150,74881,88101,60769,46926
"197",15106,0,14864,45853,74313,31659,52189,66578,33230,26978
"198",14795,0,12238,43648,73948,39246,54570,65991,33142,26115
"199",14956,0,9770,40916,96560,38596,63347,80107,58858,48749
"200",14912,1,15139,104807,324437,60054,60394,73757,46148,36418
"201",282575,137347,186319,41008,121876,74095,123639,246779,114807,110063
"202",304087,162764,59062,9754,26184,15618,29634,68560,37985,34814
"203",299361,169205,84063,10038,26226,21474,53061,204505,141512,119426
"204",354752,294125,424240,98060,261492,84961,166350,331637,317143,315489
"205",597890,605475,549408,82205,203380,111912,238816,519475,200441,158476
"206",564638,95570,127170,25190,73851,48150,105446,227920,83144,60362
"207",658973,601017,510088,153522,479720,51339,101609,311463,212021,153900
"208",609747,237036,334496,61022,166348,274826,522381,1015019,636889,513624
"209",736969,938573,638437,120800,331990,87136,127134,240237,137073,90776
"210",782564,229488,195774,100479,283968,116300,175311,307485,139791,97485
"211",643522,210324,231219,51914,150610,115100,222468,821178,379489,301650
"212",670281,380270,607145,70152,179253,127242,295647,341488,324039,215413
"213",73578,23186,29158,7122,21813,26298,24428,34584,18911,17077
