"","mh101","mh102","mh103","mh104","mh105","mh106","mh107","mh108","mh109","mh110","mh111","mh112","mh113","mh114","mh115","mh116","mh117","mh118","mh119","mh120","mh121","mh122","mh123","mh124","mh125","mh126","mh127","mh128","mh129","mh130","mh131","mh132","mh133","mh134","mh135","mh136","mh137","mh138","mh139","mh140","mh141","mh142","mh143","mh144","mh145","mh146","mh147","mh148","mh149","mh150","mh151","mh152","mh153","mh154","mh155","mh156","mh157","mh158","mh159","mh160","mh161","mh162"
"1",714802,8,150629,91782,81288,72317,70164,81197,29568,16334,12401,17993,9321,14980,16420,27788,20019,17722,16504,14413,50449,105170,103807,27372,27760,27447,25604,185,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",715223,13,151129,91389,82373,72692,70248,80953,33911,23462,18364,29473,16770,27320,29086,47902,34584,35244,33130,28417,54359,109145,108489,30970,31249,31758,29393,222,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"3",714119,12,150422,91457,82194,71871,70121,80773,41136,32341,24562,41718,23782,38835,47764,95493,67267,53179,49774,42589,50622,97159,115887,79330,75901,54953,51214,398,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
"4",712298,8,150726,90856,81340,72429,69774,80711,205303,233855,149393,240752,133495,218065,202471,227043,162015,145545,137822,117485,59213,92815,161615,207368,221803,279350,259468,1855,11,7,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,1,0,0,0
"5",147813,63323,62179,63928,61760,42739,40921,78398,111407,96860,93448,72390,60638,48211,110368,70945,62623,55925,44889,34572,33350,40694,42631,40556,38581,58786,48804,940,142365,148843,93606,129862,124260,84406,93856,88189,72559,70183,64741,191587,115012,158974,182016,173065,165503,184586,156304,114077,136796,208465,191061,165298,242540,175492,150161,181593,248834,214024,166570,103036,100005,84473
"6",147861,63331,62631,63611,61831,42499,40536,40546,15979,15845,19171,18517,17388,13613,31383,21020,25636,33385,27096,20758,29954,40913,35685,18179,13553,11788,9816,184,28411,30045,18874,25840,25267,16871,18718,27394,35246,34071,31083,90757,45547,62769,72204,68270,57480,52445,44431,32682,38853,58911,54911,47266,69385,57630,58212,70022,96460,83146,64818,39540,39088,38406
"7",147977,63118,62361,63907,61349,42441,40238,53964,49120,61391,102710,88002,77827,62203,114087,54444,79025,113800,91822,70097,36478,31541,39415,51203,38307,30729,25515,497,73700,77417,48924,66902,64763,43662,49067,42370,30638,29652,27137,80784,49107,67621,77010,74138,95442,142332,120133,88170,105695,160602,146791,128609,186592,136053,116490,141017,192523,165311,129084,79200,75562,41163
"8",148162,63173,62308,63865,61447,42306,40101,43141,21810,21025,23911,19989,17351,13711,46474,41363,30541,20133,15914,12443,25929,37814,37014,29148,21495,16504,13851,285,39558,41759,26091,36312,34778,23255,26330,60441,96480,93187,85069,250419,138864,192347,220401,210082,170829,146859,124112,91299,109122,165180,152803,133185,193538,160570,160093,192671,264080,227815,176990,108760,106238,92205
"9",678859,245509,235566,193777,209408,198679,197243,149798,59702,72512,100925,179599,208949,252357,394615,346218,425376,420811,381732,308708,272804,275639,234374,201661,168196,207241,212815,6617,157925,525657,352579,448699,440838,463524,405477,401432,334506,235174,238664,294074,327911,354319,388755,389630,415749,382366,340606,309577,406751,459423,448444,533612,566379,497971,418052,533537,537210,598192,456592,379433,312791,139135
"10",680240,246703,235431,194191,208552,197969,197122,363062,633659,575066,544284,424094,362855,439025,606679,489305,482385,360393,326225,265309,239639,243838,296155,386558,303184,309483,320246,10034,235782,789399,527923,671448,662215,695928,607799,484799,277200,196146,200248,248869,306318,329626,362964,363552,380165,346734,310034,280065,369001,414576,405853,481200,514458,288110,166871,214147,214928,240094,182391,151528,128964,101106
