"","yh101","yh102","yh103","yh104","yh105","yh106","yh107","yh108","yh109","yh110"
"1",12,0,0,0,0,0,0,0,0,0
"2",16,0,0,0,0,0,0,0,0,0
"3",17,0,0,0,0,0,0,0,0,0
"4",21,0,0,0,0,0,0,0,0,0
"5",31,0,0,0,0,0,0,0,0,0
"6",18,0,0,0,0,0,0,0,0,0
"7",24,0,0,0,0,0,0,0,0,0
"8",30,0,0,0,0,0,0,0,0,0
"9",179,85,65,34,235,218,801,926,569,128
"10",163,35,40,2,59,72,321,303,254,55
"11",180,105,113,27,157,104,359,793,504,137
"12",176,36,34,19,59,187,945,730,617,196
"13",385,446,571,106,662,1703,1114,1484,998,353
"14",608,906,583,171,960,2178,1003,1370,437,162
"15",392,476,328,41,289,647,230,395,319,122
"16",444,209,358,42,267,1348,1391,1443,1128,519
"17",930,152,580,100,223,561,651,1051,309,180
"18",886,317,704,122,231,1016,1030,1091,299,200
"19",886,508,879,179,402,1116,2237,2984,2127,1276
"20",1202,2465,1984,713,2207,3069,1404,1891,1153,803
"21",11,2,2,2,1,38,540,683,439,6
"22",12,7,2,2,1,25,331,404,201,1
"23",16,8,1,1,1,20,280,576,310,0
"24",21,8,24,6,5,47,628,594,404,2
"25",31,16,8,2,4,5,4,5,4,2
"26",25,4,2,1,3,2,3,0,1,0
"27",30,19,13,4,15,4,2,6,2,2
"28",26,7,8,2,5,10,14,4,7,7
"29",16,17,5,3,5,2,0,2,1,1
"30",25,2,6,3,5,7,4,4,2,3
"31",18,1,4,1,2,4,4,5,3,5
"32",10,4,11,0,2,5,5,4,3,10
"33",0,49,155,52,20,47,65,131,106,83
"34",0,35,159,84,38,87,27,49,71,40
"35",0,34,81,17,7,60,31,46,40,25
"36",0,12,116,15,10,38,102,82,116,85
"37",486,63,179,25,16,0,0,0,0,0
"38",615,97,201,41,24,0,0,0,0,0
"39",654,164,312,139,32,0,0,0,0,0
"40",734,821,558,466,232,0,0,0,0,0
"41",0,0,0,0,2,12,42,34,0,0
"42",0,0,0,0,3,8,36,26,0,0
"43",0,0,0,0,1,19,31,17,0,0
"44",0,0,0,0,1,21,47,35,0,0
"45",0,0,0,0,1,51,81,72,0,0
"46",0,0,0,0,1,34,98,70,0,0
"47",0,0,0,0,4,49,55,45,0,0
"48",0,0,0,0,7,41,112,76,0,0
"49",0,0,0,0,8,31,49,72,0,0
"50",0,0,0,0,6,30,58,61,0,0
"51",0,0,0,0,0,42,62,85,0,0
"52",0,0,0,0,0,37,67,68,0,0
"53",88,92,116,18,11,29,15,29,22,14
"54",104,181,95,44,52,10,3,2,4,53
"55",90,91,56,7,7,7,5,22,4,7
"56",60,66,68,7,5,37,53,11,5,80
"57",447,31,260,39,111,122,119,209,85,43
"58",415,58,304,33,103,294,226,323,112,34
"59",450,115,303,129,165,190,171,352,234,63
"60",632,651,561,372,893,669,149,362,156,47
"61",0,0,0,0,82,196,180,97,7,115
"62",0,0,0,0,91,184,160,60,2,83
"63",0,0,0,0,90,170,175,87,4,118
"64",0,0,0,0,69,198,187,92,2,132
"65",0,0,0,0,3,11,8,12,4,2
"66",0,0,0,0,2,13,8,12,3,8
"67",0,0,0,0,6,7,10,4,2,4
"68",0,0,0,0,6,17,18,17,2,4
"69",201,56,85,7,39,0,0,0,0,0
"70",218,132,55,17,64,0,0,0,0,0
"71",270,86,42,3,18,0,0,0,0,0
"72",276,32,62,2,25,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,10
"74",0,0,0,0,0,0,0,0,0,13
"75",0,0,0,0,0,0,0,0,0,5
"76",0,0,0,0,0,0,0,0,0,7
"77",0,0,0,0,0,0,0,0,0,22
"78",0,0,0,0,0,0,0,0,0,24
"79",0,0,0,0,0,0,0,0,0,40
"80",0,0,0,0,0,0,0,0,0,27
"81",0,0,0,0,0,0,0,0,0,14
"82",0,0,0,0,0,0,0,0,0,20
"83",0,0,0,0,0,0,0,0,0,15
"84",0,0,0,0,0,0,0,0,0,23
"85",34,24,35,15,1,0,0,0,0,0
"86",55,79,40,28,4,0,0,0,0,0
"87",49,30,33,6,3,0,0,0,0,0
"88",31,17,38,8,0,0,0,0,0,0
"89",59,11,17,0,0,0,0,0,0,0
"90",55,11,17,5,1,0,0,0,0,0
"91",60,24,24,13,2,0,0,0,0,0
"92",85,85,47,39,11,0,0,0,0,0
"93",0,61,39,0,9,145,103,118,56,47
"94",0,39,29,0,1,57,56,38,28,16
"95",0,67,82,0,3,86,63,79,44,32
"96",0,36,19,0,2,112,129,105,52,30
"97",0,166,351,56,25,113,115,451,142,59
"98",0,128,326,85,38,100,63,132,59,18
"99",0,141,227,33,7,53,83,321,172,51
"100",0,91,213,19,14,165,177,240,313,107
"101",0,85,81,10,8,23,0,0,0,22
"102",0,51,119,10,6,30,0,0,0,26
"103",0,75,156,17,8,52,0,0,0,52
"104",0,211,402,57,49,206,0,0,0,43
"105",144,64,99,61,100,54,18,123,98,26
"106",158,86,28,22,24,13,13,42,35,13
"107",167,94,38,18,32,14,30,144,68,36
"108",872,587,1162,583,733,230,123,298,236,84
"109",216,206,145,127,133,66,48,277,370,544
"110",209,21,47,38,42,37,44,216,245,324
"111",270,182,183,184,319,106,16,105,81,163
"112",590,201,286,136,191,147,144,404,281,360
"113",128,16,58,24,44,64,87,170,101,57
"114",127,30,41,19,52,99,117,202,94,57
"115",153,43,91,23,84,99,124,257,275,168
"116",391,522,427,308,653,350,170,433,233,149
"117",3,0,0,0,1,5,39,26,14,12
"118",1,0,0,0,0,6,26,13,8,3
"119",2,0,0,0,0,3,18,16,8,9
"120",2,0,0,0,1,8,38,21,15,6
"121",2,0,0,0,0,16,19,154,67,91
"122",3,0,0,0,0,27,16,130,62,67
"123",1,0,0,0,0,14,9,142,62,60
"124",2,0,0,0,2,23,24,172,130,139
"125",1,0,0,0,1,22,20,76,9,10
"126",3,0,0,0,0,26,31,53,18,21
"127",5,0,0,0,0,23,25,77,21,15
"128",4,0,0,0,0,26,42,83,22,7
"129",3,1,1,0,1,3,3,0,0,1
"130",1,0,0,0,0,3,0,0,0,0
"131",2,0,0,0,0,1,0,0,1,1
"132",1,1,0,0,0,6,0,1,0,0
"133",10,3,5,2,11,14,17,31,5,9
"134",15,9,3,0,0,5,10,13,3,6
"135",10,13,7,0,3,7,12,18,6,11
"136",10,23,19,4,31,31,19,51,4,13
"137",20,38,25,4,20,30,23,48,6,17
"138",21,4,9,1,4,15,20,56,9,7
"139",36,46,22,6,45,48,10,32,3,16
"140",30,22,17,3,21,52,67,65,23,39
"141",17,2,4,2,15,13,5,8,2,2
"142",19,3,4,0,2,5,4,4,0,2
"143",23,4,3,0,1,3,12,8,5,2
"144",27,13,11,2,14,31,13,13,6,10
"145",25,13,14,3,6,10,15,5,7,5
"146",31,1,1,1,6,8,8,3,2,1
"147",35,18,6,1,20,7,8,7,4,2
"148",34,4,10,3,3,23,31,15,10,15
"149",28,23,14,0,24,9,2,6,6,1
"150",43,4,4,1,17,54,22,13,5,2
"151",31,6,4,0,19,32,16,20,17,19
"152",42,15,20,0,14,20,19,22,8,8
"153",102,57,31,26,110,15,11,48,26,32
"154",71,21,17,8,26,4,17,19,8,3
"155",72,61,14,20,45,8,7,21,19,17
"156",88,18,85,26,32,13,19,90,50,33
"157",88,25,45,29,54,6,8,45,38,25
"158",108,80,54,34,74,19,24,75,44,38
"159",72,37,37,13,29,8,4,7,6,15
"160",94,17,38,5,34,17,25,76,24,23
"161",161,10,47,11,26,5,6,26,31,15
"162",124,19,33,16,21,21,23,64,28,12
"163",175,35,51,23,36,8,17,61,76,52
"164",182,211,159,119,221,15,23,108,51,34
"165",10,3,5,0,6,8,4,7,1,1
"166",9,3,2,0,1,0,1,1,2,1
"167",5,3,1,0,0,2,5,0,2,1
"168",17,4,8,2,3,6,7,12,3,0
"169",12,9,4,0,5,3,3,5,4,2
"170",15,2,2,0,5,3,5,8,4,1
"171",14,10,8,0,11,8,3,2,1,0
"172",15,2,3,3,4,8,13,10,2,6
"173",17,23,10,4,7,7,10,3,2,0
"174",23,7,0,0,4,5,11,3,3,1
"175",15,3,6,0,6,7,8,8,7,8
"176",21,6,12,2,4,5,10,8,4,3
"177",4,0,2,0,2,5,0,5,1,1
"178",1,0,0,0,0,3,2,1,0,1
"179",5,0,0,0,0,1,0,3,3,0
"180",4,5,3,0,6,3,4,2,1,1
"181",9,0,5,1,2,2,5,2,4,5
"182",11,1,0,0,1,5,7,5,1,1
"183",8,4,1,0,4,5,0,1,1,0
"184",8,0,3,0,2,14,8,8,4,3
"185",10,5,7,0,5,4,0,0,0,1
"186",8,1,4,0,2,9,2,1,0,0
"187",18,1,2,0,3,4,3,3,3,1
"188",14,1,1,1,4,7,5,7,2,1
"189",1,0,1,19,47,9,9,15,7,6
"190",2,0,1,8,15,4,3,12,6,10
"191",2,0,1,6,28,4,9,7,13,8
"192",0,0,2,16,20,8,15,20,13,13
"193",6,0,6,6,45,9,28,43,13,19
"194",5,0,7,12,67,21,19,33,16,15
"195",1,0,5,15,32,9,19,24,11,10
"196",6,0,6,8,27,28,35,35,29,13
"197",5,0,7,16,36,12,28,26,15,13
"198",2,0,1,11,25,6,25,49,16,8
"199",7,0,1,16,43,13,28,27,43,21
"200",5,0,7,56,141,31,27,36,29,18
"201",59,42,50,19,35,19,28,47,23,21
"202",82,42,21,3,6,3,5,13,13,13
"203",69,45,26,5,8,5,14,58,28,27
"204",106,109,124,42,81,34,67,117,97,72
"205",152,127,100,16,62,19,49,107,40,26
"206",146,19,30,6,19,10,21,37,12,16
"207",149,108,97,36,122,13,24,56,52,26
"208",192,54,94,19,51,69,141,272,147,134
"209",195,213,146,37,105,23,29,56,37,18
"210",158,48,37,14,77,31,43,92,36,21
"211",163,54,50,13,38,27,82,214,93,64
"212",228,98,143,18,73,44,90,94,90,63
"213",25,5,5,1,4,8,2,6,5,2
"214",29,8,3,0,0,4,1,4,0,1
"215",26,4,6,1,1,3,5,6,4,3
"216",29,12,20,7,10,13,14,9,8,6
"217",19,18,13,6,8,6,11,14,6,5
"218",28,4,4,1,3,5,5,15,3,3
"219",31,19,9,6,20,5,0,6,1,2
"220",22,3,11,3,11,12,13,24,5,7
"221",29,21,21,3,13,3,9,7,4,3
"222",37,4,5,4,11,7,7,4,1,0
"223",37,4,6,0,4,5,9,12,7,8
"224",36,13,18,4,8,6,7,16,7,7
"225",0,0,0,0,0,0,7,10,7,0
"226",0,0,0,0,0,1,6,2,5,0
"227",0,0,0,0,0,1,4,9,7,0
"228",0,0,0,0,0,6,19,18,14,0
"229",0,2,0,0,0,0,0,0,0,0
"230",0,0,1,0,0,0,0,0,0,0
"231",0,4,0,0,0,0,0,0,0,0
"232",0,3,0,0,0,0,0,0,0,0
"233",0,0,0,0,0,6,25,21,13,1
"234",0,0,0,0,0,3,21,16,21,0
"235",0,0,0,0,0,1,24,10,19,0
"236",0,0,0,0,0,8,27,17,22,0
"237",0,0,0,0,0,0,0,0,0,0
"238",0,6,0,0,0,0,0,0,0,0
"239",0,4,0,0,0,0,0,0,0,0
"240",0,4,0,0,0,0,0,0,0,0
"241",0,0,0,0,0,12,52,66,67,1
"242",0,0,0,0,0,5,52,57,56,1
"243",0,0,0,0,0,11,69,83,123,0
"244",0,0,0,0,0,13,84,115,130,0
"245",0,14,3,0,0,0,0,0,0,0
"246",0,11,7,0,0,0,0,0,0,0
"247",0,8,3,0,0,0,0,0,0,0
"248",0,25,7,0,0,0,0,0,0,0
"249",0,0,0,0,0,1,4,7,3,0
"250",0,0,0,0,0,1,4,9,4,0
"251",0,0,0,0,0,4,8,6,3,0
"252",0,0,0,0,0,5,8,13,5,0
"253",0,13,3,0,0,0,0,0,0,0
"254",0,7,3,0,0,0,0,0,0,0
"255",0,16,4,0,0,0,0,0,0,0
"256",0,12,1,0,0,0,0,0,0,0
"257",0,0,0,0,0,133,554,682,357,1
"258",0,0,0,0,0,93,484,678,406,0
"259",0,0,0,0,0,73,385,477,756,0
"260",0,0,0,0,0,194,608,788,645,0
"261",0,547,206,0,0,0,0,0,0,0
"262",0,435,199,0,0,0,0,0,0,0
"263",0,551,100,0,0,0,0,0,0,0
"264",0,248,121,0,0,0,0,0,0,0
"265",0,0,0,0,0,82,429,611,363,1
"266",0,0,0,0,0,124,547,525,303,0
"267",0,0,0,0,0,109,561,861,593,1
"268",0,0,0,0,0,155,734,863,510,0
"269",0,207,19,0,0,0,0,0,0,0
"270",0,113,30,0,0,0,0,0,0,0
"271",0,227,89,0,0,0,0,0,0,0
"272",0,702,257,0,0,0,0,0,0,0
"273",0,0,0,0,0,0,0,0,0,0
"274",0,0,0,0,0,0,0,0,0,0
"275",0,0,0,0,0,0,0,0,0,0
"276",0,0,0,0,0,0,0,0,0,0
"277",0,0,0,0,14,411,374,216,29,67
"278",0,0,0,0,20,421,337,194,18,59
"279",0,0,0,0,18,383,206,170,18,39
"280",0,0,0,0,23,370,439,237,36,65
"281",0,0,0,0,7,233,185,145,22,74
"282",0,0,0,0,3,191,179,142,29,73
"283",0,0,0,0,9,230,227,196,53,123
"284",0,0,0,0,5,239,202,144,41,82
"285",2236,727,665,85,0,2776,1105,1953,0,0
"286",2285,194,449,53,0,1564,940,590,0,0
"287",2373,730,854,162,0,1579,840,984,0,0
"288",2268,287,401,75,0,1818,1440,1209,0,0
"289",118,0,0,0,0,0,0,0,0,0
"290",113,0,0,0,0,0,0,0,0,0
"291",107,0,0,0,0,0,0,0,0,0
"292",91,0,0,0,0,0,0,0,0,0
"293",108,0,0,0,0,0,0,0,0,0
"294",97,0,0,0,0,0,0,0,0,0
"295",114,0,0,0,0,0,0,0,0,0
"296",104,0,0,0,0,0,0,0,0,0
"297",123,0,0,0,0,0,0,0,0,0
"298",112,0,0,0,0,0,0,0,0,0
"299",137,0,0,0,0,0,0,0,0,0
"300",148,0,0,0,0,0,0,0,0,0
"301",0,143,112,64,205,127,0,0,0,76
"302",0,119,69,24,40,34,0,0,0,58
"303",0,174,209,68,89,64,0,0,0,69
"304",0,142,82,26,74,49,0,0,0,104
"305",0,34,15,7,34,22,0,0,0,33
"306",0,44,18,12,72,45,0,0,0,22
"307",0,33,5,7,27,13,0,0,0,14
"308",0,28,11,3,15,18,0,0,0,37
"309",0,21,7,9,8,3,0,0,0,13
"310",0,21,23,1,5,2,0,0,0,14
"311",0,16,25,10,13,3,0,0,0,15
"312",0,65,72,30,87,33,0,0,0,24
"313",0,83,96,64,83,124,0,0,0,58
"314",0,47,43,24,19,30,0,0,0,64
"315",0,85,108,56,42,67,0,0,0,93
"316",0,80,46,31,24,69,0,0,0,56
"317",0,22,21,5,18,21,0,0,0,29
"318",0,21,28,16,28,49,0,0,0,20
"319",0,19,23,7,9,12,0,0,0,15
"320",0,12,16,8,10,20,0,0,0,40
"321",0,6,5,0,0,4,0,0,0,6
"322",0,3,4,1,2,8,0,0,0,8
"323",0,7,7,2,5,5,0,0,0,4
"324",0,25,22,10,23,23,0,0,0,10
"325",29,17,9,5,1,0,0,0,0,0
"326",24,1,7,3,0,0,0,0,0,0
"327",36,32,7,5,1,0,0,0,0,0
"328",24,2,4,1,0,0,0,0,0,0
"329",215,45,48,19,5,0,0,0,0,0
"330",306,135,51,31,12,0,0,0,0,0
"331",297,79,49,5,3,0,0,0,0,0
"332",254,23,32,6,3,0,0,0,0,0
"333",263,16,25,7,6,0,0,0,0,0
"334",229,32,44,11,4,0,0,0,0,0
"335",307,50,56,18,2,0,0,0,0,0
"336",334,253,130,77,41,0,0,0,0,0
"337",15,0,0,0,0,0,0,0,0,0
"338",15,0,0,0,0,0,0,0,0,0
"339",24,0,0,0,0,0,0,0,0,0
"340",18,0,0,0,0,0,0,0,0,0
"341",47,0,0,0,0,0,0,0,0,0
"342",32,0,0,0,0,0,0,0,0,0
"343",29,0,0,0,0,0,0,0,0,0
"344",33,0,0,0,0,0,0,0,0,0
"345",0,0,0,0,23,44,48,32,16,29
"346",0,0,0,0,34,51,54,26,21,23
"347",0,0,0,0,28,40,24,34,18,12
"348",0,0,0,0,37,54,58,44,20,14
"349",0,0,0,0,1,5,5,7,1,4
"350",0,0,0,0,1,4,3,4,1,5
"351",0,0,0,0,5,4,3,4,1,4
"352",0,0,0,0,4,5,2,2,4,2
"353",0,0,0,0,48,79,59,43,22,25
"354",0,0,0,0,51,68,47,52,14,21
"355",0,0,0,0,53,78,48,57,39,44
"356",0,0,0,0,49,80,66,43,22,41
"357",0,0,0,0,2,3,4,2,5,10
"358",0,0,0,0,3,5,4,4,3,7
"359",0,0,0,0,5,5,5,3,5,9
"360",0,0,0,0,9,4,7,7,9,12
"361",50,0,0,0,0,0,0,0,0,0
"362",53,0,0,0,0,0,0,0,0,0
"363",48,0,0,0,0,0,0,0,0,0
"364",60,0,0,0,0,0,0,0,0,0
"365",136,0,0,0,0,0,0,0,0,0
"366",116,0,0,0,0,0,0,0,0,0
"367",116,0,0,0,0,0,0,0,0,0
"368",128,0,0,0,0,0,0,0,0,0
"369",0,0,0,0,30,249,184,258,132,92
"370",0,0,0,0,22,206,175,244,121,95
"371",0,0,0,0,25,225,118,157,106,72
"372",0,0,0,0,31,263,202,325,165,119
"373",0,0,0,0,15,115,70,103,51,27
"374",0,0,0,0,14,147,74,89,47,25
"375",0,0,0,0,8,107,84,107,69,55
"376",0,0,0,0,20,137,93,100,62,56
"377",949,285,377,176,47,0,0,0,0,0
"378",1493,826,381,380,84,0,0,0,0,0
"379",1098,435,235,107,25,0,0,0,0,0
"380",1052,167,258,79,26,0,0,0,0,0
"381",122,0,0,0,0,0,0,0,0,0
"382",140,0,0,0,0,0,0,0,0,0
"383",134,0,0,0,0,0,0,0,0,0
"384",125,0,0,0,0,0,0,0,0,0
"385",8,0,0,0,0,0,0,0,0,0
"386",11,0,0,0,0,0,0,0,0,0
"387",8,0,0,0,0,0,0,0,0,0
"388",10,0,0,0,0,0,0,0,0,0
"389",22,0,0,0,0,0,0,0,0,0
"390",24,0,0,0,0,0,0,0,0,0
"391",26,0,0,0,0,0,0,0,0,0
"392",28,0,0,0,0,0,0,0,0,0
"393",131,0,0,0,0,0,0,0,0,0
"394",124,0,0,0,0,0,0,0,0,0
"395",135,0,0,0,0,0,0,0,0,0
"396",129,0,0,0,0,0,0,0,0,0
"397",81,0,0,0,0,0,0,0,0,0
"398",106,0,0,0,0,0,0,0,0,0
"399",111,0,0,0,0,0,0,0,0,0
"400",100,0,0,0,0,0,0,0,0,0
"401",82,27,41,0,23,51,59,50,0,0
"402",131,75,48,0,60,63,44,42,0,0
"403",96,55,28,0,11,15,25,20,0,0
"404",80,28,47,0,18,54,60,41,0,0
"405",11,2,5,1,0,2,3,8,4,3
"406",15,4,10,5,0,13,4,6,1,2
"407",12,6,7,10,6,6,8,12,21,8
"408",19,14,16,21,13,20,7,18,8,10
"409",20,38,17,13,24,2,8,4,0,0
"410",13,5,19,4,3,1,5,1,0,0
"411",18,41,24,13,14,3,1,5,0,0
"412",11,19,13,2,5,1,6,4,1,0
"413",24,57,109,26,66,18,24,39,0,0
"414",35,112,101,48,99,17,19,26,0,0
"415",22,62,48,15,22,6,14,34,1,0
"416",25,36,79,11,20,19,18,31,1,0
"417",23,14,20,1,2,11,13,28,0,0
"418",22,14,12,9,12,12,28,26,0,0
"419",26,20,28,5,17,12,14,31,3,0
"420",75,130,55,37,89,40,21,39,2,0
"421",0,0,0,0,0,0,0,0,0,31
"422",0,0,0,0,0,0,0,0,0,20
"423",0,0,0,0,0,0,0,0,0,25
"424",0,0,0,0,0,0,0,0,0,23
"425",0,0,0,0,0,0,0,0,0,73
"426",0,0,0,0,0,0,0,0,0,82
"427",0,0,0,0,0,0,0,0,0,79
"428",0,0,0,0,0,0,0,0,0,88
"429",0,0,0,0,0,0,0,0,0,56
"430",0,0,0,0,0,0,0,0,0,53
"431",0,0,0,0,0,0,0,0,0,52
"432",0,0,0,0,0,0,0,0,0,69
"433",0,0,0,0,0,3,2,2,0,1
"434",0,0,0,0,0,1,2,1,1,0
"435",0,0,0,0,0,1,1,5,1,1
"436",0,0,0,0,0,8,2,0,0,0
"437",0,0,0,0,0,3,4,5,0,1
"438",0,0,0,0,0,2,6,3,1,0
"439",0,0,0,0,0,2,3,3,0,0
"440",0,0,0,0,0,2,4,2,0,1
"441",0,0,0,0,0,2,4,2,0,0
"442",0,0,0,0,0,0,4,3,0,1
"443",0,0,0,0,0,5,5,5,2,0
"444",0,0,0,0,0,1,5,4,0,0
"445",0,0,0,0,0,5,6,27,7,0
"446",0,0,0,0,0,14,5,17,4,1
"447",0,0,0,0,0,4,7,10,3,0
"448",0,0,0,0,0,6,14,20,1,0
"449",0,0,0,0,0,5,18,38,6,0
"450",0,0,0,0,0,12,18,58,6,0
"451",0,0,0,0,0,13,15,24,2,0
"452",0,0,0,0,0,14,22,40,7,0
"453",0,0,0,0,0,9,21,27,6,0
"454",0,0,0,0,0,12,21,38,3,0
"455",0,0,0,0,0,4,23,19,3,0
"456",0,0,0,0,0,3,17,61,6,0
"457",0,0,0,0,0,15,10,13,4,0
"458",0,0,0,0,0,4,16,15,6,0
"459",0,0,0,0,0,12,10,14,4,1
"460",0,0,0,0,0,7,12,22,0,0
"461",0,0,0,0,0,5,17,27,8,0
"462",0,0,0,0,0,7,19,35,4,0
"463",0,0,0,0,0,1,10,22,0,0
"464",0,0,0,0,0,8,14,20,4,0
"465",0,0,0,0,0,5,18,16,2,0
"466",0,0,0,0,0,4,18,14,5,0
"467",0,0,0,0,0,4,16,20,7,0
"468",0,0,0,0,0,2,12,26,4,0
"469",912,377,255,239,467,281,157,272,142,173
"470",875,101,177,90,118,128,128,126,113,109
"471",867,400,322,135,221,149,147,276,162,136
"472",792,123,161,98,115,166,191,241,176,172
"473",2527,495,730,413,662,362,781,1020,501,391
"474",2891,1268,704,709,1299,586,814,349,444,354
"475",2541,724,399,176,399,162,300,367,179,132
"476",2539,297,519,142,293,319,1375,398,384,321
"477",2170,199,345,121,187,103,219,304,152,121
"478",2161,340,365,126,165,268,375,503,192,165
"479",2157,540,539,276,320,195,239,567,594,534
